"PSR (Temp=0,VREF_PSR=0.05) X","PSR (Temp=0,VREF_PSR=0.05) Y","PSR (Temp=0,VREF_PSR=0.25) X","PSR (Temp=0,VREF_PSR=0.25) Y","PSR (Temp=0,VREF_PSR=0.45) X","PSR (Temp=0,VREF_PSR=0.45) Y","PSR (Temp=0,VREF_PSR=0.65) X","PSR (Temp=0,VREF_PSR=0.65) Y","PSR (Temp=0,VREF_PSR=0.85) X","PSR (Temp=0,VREF_PSR=0.85) Y","PSR (Temp=27,VREF_PSR=0.05) X","PSR (Temp=27,VREF_PSR=0.05) Y","PSR (Temp=27,VREF_PSR=0.25) X","PSR (Temp=27,VREF_PSR=0.25) Y","PSR (Temp=27,VREF_PSR=0.45) X","PSR (Temp=27,VREF_PSR=0.45) Y","PSR (Temp=27,VREF_PSR=0.65) X","PSR (Temp=27,VREF_PSR=0.65) Y","PSR (Temp=27,VREF_PSR=0.85) X","PSR (Temp=27,VREF_PSR=0.85) Y","PSR (Temp=125,VREF_PSR=0.05) X","PSR (Temp=125,VREF_PSR=0.05) Y","PSR (Temp=125,VREF_PSR=0.25) X","PSR (Temp=125,VREF_PSR=0.25) Y","PSR (Temp=125,VREF_PSR=0.45) X","PSR (Temp=125,VREF_PSR=0.45) Y","PSR (Temp=125,VREF_PSR=0.65) X","PSR (Temp=125,VREF_PSR=0.65) Y","PSR (Temp=125,VREF_PSR=0.85) X","PSR (Temp=125,VREF_PSR=0.85) Y","PSR (Temp=-55,VREF_PSR=0.05) X","PSR (Temp=-55,VREF_PSR=0.05) Y","PSR (Temp=-55,VREF_PSR=0.25) X","PSR (Temp=-55,VREF_PSR=0.25) Y","PSR (Temp=-55,VREF_PSR=0.45) X","PSR (Temp=-55,VREF_PSR=0.45) Y","PSR (Temp=-55,VREF_PSR=0.65) X","PSR (Temp=-55,VREF_PSR=0.65) Y","PSR (Temp=-55,VREF_PSR=0.85) X","PSR (Temp=-55,VREF_PSR=0.85) Y","PSR (Temp=-100,VREF_PSR=0.05) X","PSR (Temp=-100,VREF_PSR=0.05) Y","PSR (Temp=-100,VREF_PSR=0.25) X","PSR (Temp=-100,VREF_PSR=0.25) Y","PSR (Temp=-100,VREF_PSR=0.45) X","PSR (Temp=-100,VREF_PSR=0.45) Y","PSR (Temp=-100,VREF_PSR=0.65) X","PSR (Temp=-100,VREF_PSR=0.65) Y","PSR (Temp=-100,VREF_PSR=0.85) X","PSR (Temp=-100,VREF_PSR=0.85) Y"
1,-78.42026148046619,1,-56.65132836898283,1,-58.91359017148375,1,-61.47926836026088,1,-58.71017824490459,1,-57.87526462267945,1,-53.71562619331461,1,-55.94949923921994,1,-58.46974373068849,1,-55.68784745776001,1,-43.14010763600611,1,-44.25368148690625,1,-46.28191330183542,1,-48.54610776576492,1,-45.18028282281652,1,-58.75748502967797,1,-62.49867000580365,1,-64.7453649834453,1,-67.29843272059958,1,-63.09339265906127,1,-48.86631604024075,1,-68.63005251768354,1,-70.74124666686889,1,-73.22597259327394,1,-69.36297603517042
1.258925411794167,-78.42026142482872,1.258925411794167,-56.65132836870669,1.258925411794167,-58.91359017099659,1.258925411794167,-61.47926835940007,1.258925411794167,-58.71017824320363,1.258925411794167,-57.87526462217155,1.258925411794167,-53.71562619315667,1.258925411794167,-55.94949923895483,1.258925411794167,-58.46974373019258,1.258925411794167,-55.68784745669579,1.258925411794167,-43.1401076359794,1.258925411794167,-44.25368148688329,1.258925411794167,-46.28191330179825,1.258925411794167,-48.54610776569309,1.258925411794167,-45.18028282259809,1.258925411794167,-58.75748502915667,1.258925411794167,-62.49867000497231,1.258925411794167,-64.74536498212693,1.258925411794167,-67.29843271821242,1.258925411794167,-63.0933926561439,1.258925411794167,-48.8663160401827,1.258925411794167,-68.6300525151765,1.258925411794167,-70.74124666301573,1.258925411794167,-73.22597258627007,1.258925411794167,-69.3629760266106
1.584893192461114,-78.42026133624152,1.584893192461114,-56.65132836824189,1.584893192461114,-58.91359017026767,1.584893192461114,-61.47926835810134,1.584893192461114,-58.71017824049058,1.584893192461114,-57.87526462131622,1.584893192461114,-53.71562619289448,1.584893192461114,-55.94949923852496,1.584893192461114,-58.46974372944006,1.584893192461114,-55.68784745500088,1.584893192461114,-43.14010763594059,1.584893192461114,-44.25368148683641,1.584893192461114,-46.28191330172925,1.584893192461114,-48.54610776556857,1.584893192461114,-45.18028282224947,1.584893192461114,-58.75748502833046,1.584893192461114,-62.49867000369586,1.584893192461114,-64.74536497998417,1.584893192461114,-67.29843271446479,1.584893192461114,-63.09339265151468,1.584893192461114,-48.86631604008893,1.584893192461114,-68.63005251090432,1.584893192461114,-70.74124665658103,1.584893192461114,-73.22597257516969,1.584893192461114,-69.36297601308011
1.99526231496888,-78.42026119571166,1.99526231496888,-56.65132836753236,1.99526231496888,-58.91359016907155,1.99526231496888,-61.47926835594844,1.99526231496888,-58.71017823619125,1.99526231496888,-57.87526461997977,1.99526231496888,-53.71562619247147,1.99526231496888,-55.9494992378687,1.99526231496888,-58.46974372820104,1.99526231496888,-55.68784745232533,1.99526231496888,-43.14010763587908,1.99526231496888,-44.25368148676107,1.99526231496888,-46.28191330161037,1.99526231496888,-48.54610776537778,1.99526231496888,-45.18028282169797,1.99526231496888,-58.75748502700765,1.99526231496888,-62.49867000160763,1.99526231496888,-64.74536497677917,1.99526231496888,-67.29843270857577,1.99526231496888,-63.09339264418108,1.99526231496888,-48.8663160399282,1.99526231496888,-68.63005250452258,1.99526231496888,-70.74124664674164,1.99526231496888,-73.22597255743531,1.99526231496888,-69.36297599161308
2.511886431509581,-78.42026097331936,2.511886431509581,-56.6513283663912,2.511886431509581,-58.91359016726779,2.511886431509581,-61.47926835263089,2.511886431509581,-58.71017822939642,2.511886431509581,-57.87526461783745,2.511886431509581,-53.71562619184282,2.511886431509581,-55.94949923683261,2.511886431509581,-58.46974372627831,2.511886431509581,-55.68784744807567,2.511886431509581,-43.14010763578824,2.511886431509581,-44.25368148664711,2.511886431509581,-46.2819133014466,2.511886431509581,-48.54610776507539,2.511886431509581,-45.1802828208241,2.511886431509581,-58.75748502495906,2.511886431509581,-62.498669998298,2.511886431509581,-64.74536497150403,2.511886431509581,-67.2984326988221,2.511886431509581,-63.09339263256685,2.511886431509581,-48.86631603970132,2.511886431509581,-68.63005249425174,2.511886431509581,-70.741246631032,2.511886431509581,-73.22597252969389,2.511886431509581,-69.3629759576374
3.16227766016838,-78.42026062077608,3.16227766016838,-56.6513283645826,3.16227766016838,-58.91359016433865,3.16227766016838,-61.47926834722347,3.16227766016838,-58.7101782186154,3.16227766016838,-57.87526461448043,3.16227766016838,-53.71562619079156,3.16227766016838,-55.94949923515983,3.16227766016838,-58.46974372324394,3.16227766016838,-55.68784744134913,3.16227766016838,-43.14010763563373,3.16227766016838,-44.25368148647804,3.16227766016838,-46.28191330116556,3.16227766016838,-48.54610776459201,3.16227766016838,-45.18028281944078,3.16227766016838,-58.75748502164313,3.16227766016838,-62.49866999303201,3.16227766016838,-64.74536496315906,3.16227766016838,-67.29843268383168,3.16227766016838,-63.09339261413749,3.16227766016838,-48.86631603936211,3.16227766016838,-68.63005247790751,3.16227766016838,-70.74124660583709,3.16227766016838,-73.22597248543177,3.16227766016838,-69.36297590374893
3.981071705534974,-78.42026006131429,3.981071705534974,-56.65132836171614,3.981071705534974,-58.91359015973944,3.981071705534974,-61.47926833883485,3.981071705534974,-58.71017820151258,3.981071705534974,-57.87526460918406,3.981071705534974,-53.71562618911484,3.981071705534974,-55.9494992324893,3.981071705534974,-58.46974371841427,3.981071705534974,-55.68784743068341,3.981071705534974,-43.14010763538884,3.981071705534974,-44.2536814861931,3.981071705534974,-46.28191330073342,3.981071705534974,-48.54610776383657,3.981071705534974,-45.18028281724617,3.981071705534974,-58.75748501651037,3.981071705534974,-62.49866998475974,3.981071705534974,-64.74536494992213,3.981071705534974,-67.29843265996014,3.981071705534974,-63.09339258495282,3.981071705534974,-48.86631603881592,3.981071705534974,-68.63005245196197,3.981071705534974,-70.74124656629587,3.981071705534974,-73.22597241546387,3.981071705534974,-69.36297581836607
5.011872336272725,-78.42025917582863,5.011872336272725,-56.65132835718362,5.011872336272725,-58.91359015247739,5.011872336272725,-61.47926832551838,5.011872336272725,-58.71017817441204,5.011872336272725,-57.87526460071534,5.011872336272725,-53.71562618650047,5.011872336272725,-55.9494992282778,5.011872336272725,-58.46974371075976,5.011872336272725,-55.6878474137978,5.011872336272725,-43.14010763499629,5.011872336272725,-44.25368148574443,5.011872336272725,-46.28191330004347,5.011872336272725,-48.5461077626286,5.011872336272725,-45.18028281377028,5.011872336272725,-58.7574850082082,5.011872336272725,-62.49866997156328,5.011872336272725,-64.74536492902746,5.011872336272725,-67.29843262226929,5.011872336272725,-63.09339253867714,5.011872336272725,-48.86631603797669,5.011872336272725,-68.63005241103212,5.011872336272725,-70.74124650364934,5.011872336272725,-73.22597230438939,5.011872336272725,-69.36297568303863
6.309573444801935,-78.42025777168858,6.309573444801935,-56.65132834995193,6.309573444801935,-58.91359014092468,6.309573444801935,-61.47926830435521,6.309573444801935,-58.71017813147198,6.309573444801935,-57.87526458737493,6.309573444801935,-53.71562618233764,6.309573444801935,-55.94949922157965,6.309573444801935,-58.46974369861525,6.309573444801935,-55.68784738700818,6.309573444801935,-43.14010763437452,6.309573444801935,-44.2536814850388,6.309573444801935,-46.28191329893408,6.309573444801935,-48.54610776070827,6.309573444801935,-45.18028280825769,6.309573444801935,-58.75748499510036,6.309573444801935,-62.4986699506192,6.309573444801935,-64.74536489593829,6.309573444801935,-67.29843256223521,6.309573444801935,-63.09339246536321,6.309573444801935,-48.8663160366177,6.309573444801935,-68.63005234588121,6.309573444801935,-70.74124640408654,6.309573444801935,-73.22597212846028,6.309573444801935,-69.36297546857239
7.943282347242818,-78.42025554648137,7.943282347242818,-56.65132833854037,7.943282347242818,-58.91359012258762,7.943282347242818,-61.47926827081384,7.943282347242818,-58.71017806339726,7.943282347242818,-57.87526456621767,7.943282347242818,-53.71562617577431,7.943282347242818,-55.94949921105419,7.943282347242818,-58.46974367936212,7.943282347242818,-55.68784734456436,7.943282347242818,-43.14010763340406,7.943282347242818,-44.25368148391942,7.943282347242818,-46.28191329720419,7.943282347242818,-48.54610775768437,7.943282347242818,-45.18028279952326,7.943282347242818,-58.75748497434704,7.943282347242818,-62.49866991760516,7.943282347242818,-64.7453648434799,7.943282347242818,-67.2984324672009,7.943282347242818,-63.09339234910517,7.943282347242818,-48.86631603449452,7.943282347242818,-68.6300522428394,7.943282347242818,-70.74124624656488,7.943282347242818,-73.22597184963148,7.943282347242818,-69.36297512862288
