"PSR (Temp=0,VREF_PSR=0.05) X","PSR (Temp=0,VREF_PSR=0.05) Y","PSR (Temp=0,VREF_PSR=0.25) X","PSR (Temp=0,VREF_PSR=0.25) Y","PSR (Temp=0,VREF_PSR=0.45) X","PSR (Temp=0,VREF_PSR=0.45) Y","PSR (Temp=0,VREF_PSR=0.65) X","PSR (Temp=0,VREF_PSR=0.65) Y","PSR (Temp=0,VREF_PSR=0.85) X","PSR (Temp=0,VREF_PSR=0.85) Y","PSR (Temp=27,VREF_PSR=0.05) X","PSR (Temp=27,VREF_PSR=0.05) Y","PSR (Temp=27,VREF_PSR=0.25) X","PSR (Temp=27,VREF_PSR=0.25) Y","PSR (Temp=27,VREF_PSR=0.45) X","PSR (Temp=27,VREF_PSR=0.45) Y","PSR (Temp=27,VREF_PSR=0.65) X","PSR (Temp=27,VREF_PSR=0.65) Y","PSR (Temp=27,VREF_PSR=0.85) X","PSR (Temp=27,VREF_PSR=0.85) Y","PSR (Temp=125,VREF_PSR=0.05) X","PSR (Temp=125,VREF_PSR=0.05) Y","PSR (Temp=125,VREF_PSR=0.25) X","PSR (Temp=125,VREF_PSR=0.25) Y","PSR (Temp=125,VREF_PSR=0.45) X","PSR (Temp=125,VREF_PSR=0.45) Y","PSR (Temp=125,VREF_PSR=0.65) X","PSR (Temp=125,VREF_PSR=0.65) Y","PSR (Temp=125,VREF_PSR=0.85) X","PSR (Temp=125,VREF_PSR=0.85) Y","PSR (Temp=-55,VREF_PSR=0.05) X","PSR (Temp=-55,VREF_PSR=0.05) Y","PSR (Temp=-55,VREF_PSR=0.25) X","PSR (Temp=-55,VREF_PSR=0.25) Y","PSR (Temp=-55,VREF_PSR=0.45) X","PSR (Temp=-55,VREF_PSR=0.45) Y","PSR (Temp=-55,VREF_PSR=0.65) X","PSR (Temp=-55,VREF_PSR=0.65) Y","PSR (Temp=-55,VREF_PSR=0.85) X","PSR (Temp=-55,VREF_PSR=0.85) Y","PSR (Temp=-100,VREF_PSR=0.05) X","PSR (Temp=-100,VREF_PSR=0.05) Y","PSR (Temp=-100,VREF_PSR=0.25) X","PSR (Temp=-100,VREF_PSR=0.25) Y","PSR (Temp=-100,VREF_PSR=0.45) X","PSR (Temp=-100,VREF_PSR=0.45) Y","PSR (Temp=-100,VREF_PSR=0.65) X","PSR (Temp=-100,VREF_PSR=0.65) Y","PSR (Temp=-100,VREF_PSR=0.85) X","PSR (Temp=-100,VREF_PSR=0.85) Y"
1,-68.25915166735278,1,-57.20951369493785,1,-59.27838924890926,1,-61.42490443212866,1,-58.09096227128143,1,-61.64398495874279,1,-54.34230008957628,1,-56.453215495839,1,-58.70734521682881,1,-55.41086292557108,1,-43.96096165645803,1,-44.87938617918455,1,-46.89068370887178,1,-49.11048950106549,1,-45.34022293524449,1,-54.75872259034642,1,-62.45818361792737,1,-64.21077905071625,1,-65.70634544335425,1,-61.09931534546671,1,-46.13152610063054,1,-67.61417212687823,1,-68.76227590864147,1,-69.30157023324305,1,-64.81446907074769
1.258925411794167,-68.25915166258116,1.258925411794167,-57.20951369469158,1.258925411794167,-59.27838924856329,1.258925411794167,-61.42490443150329,1.258925411794167,-58.09096226983741,1.258925411794167,-61.64398495763901,1.258925411794167,-54.34230008940654,1.258925411794167,-56.45321549561337,1.258925411794167,-58.70734521642596,1.258925411794167,-55.41086292457763,1.258925411794167,-43.96096165643207,1.258925411794167,-44.87938617916264,1.258925411794167,-46.89068370883324,1.258925411794167,-49.11048950099309,1.258925411794167,-45.34022293500426,1.258925411794167,-54.75872259015802,1.258925411794167,-62.45818361726195,1.258925411794167,-64.21077904987547,1.258925411794167,-65.70634544216337,1.258925411794167,-61.09931534374181,1.258925411794167,-46.13152610059934,1.258925411794167,-67.61417212555415,1.258925411794167,-68.76227590701043,1.258925411794167,-69.3015702310054,1.258925411794167,-64.81446906807284
1.584893192461114,-68.25915165508187,1.584893192461114,-57.20951369429469,1.584893192461114,-59.27838924794747,1.584893192461114,-61.42490443046521,1.584893192461114,-58.09096226755288,1.584893192461114,-61.64398495590825,1.584893192461114,-54.34230008916298,1.584893192461114,-56.45321549522925,1.584893192461114,-58.70734521580072,1.584893192461114,-55.41086292301021,1.584893192461114,-43.96096165639579,1.584893192461114,-44.87938617911929,1.584893192461114,-46.89068370876335,1.584893192461114,-49.11048950088717,1.584893192461114,-45.34022293462569,1.584893192461114,-54.75872258985942,1.584893192461114,-62.45818361635408,1.584893192461114,-64.21077904850335,1.584893192461114,-65.70634544025845,1.584893192461114,-61.09931534100287,1.584893192461114,-46.1315261005486,1.584893192461114,-67.61417212318341,1.584893192461114,-68.76227590422448,1.584893192461114,-69.30157022761688,1.584893192461114,-64.814469063827
1.99526231496888,-68.25915164315639,1.99526231496888,-57.20951369367035,1.99526231496888,-59.27838924698566,1.99526231496888,-61.42490442886692,1.99526231496888,-58.09096226393019,1.99526231496888,-61.64398495315432,1.99526231496888,-54.34230008882524,1.99526231496888,-56.45321549466748,1.99526231496888,-58.70734521476219,1.99526231496888,-55.41086292051755,1.99526231496888,-43.96096165632815,1.99526231496888,-44.87938617905062,1.99526231496888,-46.89068370867163,1.99526231496888,-49.11048950070533,1.99526231496888,-45.34022293402441,1.99526231496888,-54.75872258937772,1.99526231496888,-62.4581836147445,1.99526231496888,-64.21077904637869,1.99526231496888,-65.70634543719227,1.99526231496888,-61.0993153366722,1.99526231496888,-46.13152610047182,1.99526231496888,-67.61417211948483,1.99526231496888,-68.76227589980897,1.99526231496888,-69.30157022348496,1.99526231496888,-64.81446905711961
2.511886431509581,-68.25915162423914,2.511886431509581,-57.20951369264535,2.511886431509581,-59.27838924545301,2.511886431509581,-61.42490442635955,2.511886431509581,-58.09096225818461,2.511886431509581,-61.64398494879736,2.511886431509581,-54.34230008821348,2.511886431509581,-56.45321549369763,2.511886431509581,-58.70734521322481,2.511886431509581,-55.41086291656942,2.511886431509581,-43.96096165623454,2.511886431509581,-44.87938617894449,2.511886431509581,-46.89068370850464,2.511886431509581,-49.11048950043254,2.511886431509581,-45.34022293307058,2.511886431509581,-54.75872258861077,2.511886431509581,-62.45818361229934,2.511886431509581,-64.21077904293193,2.511886431509581,-65.70634543239213,2.511886431509581,-61.0993153297988,2.511886431509581,-46.13152610035379,2.511886431509581,-67.61417211366013,2.511886431509581,-68.76227589293778,2.511886431509581,-69.30157021587701,2.511886431509581,-64.81446904648452
3.16227766016838,-68.25915159422424,3.16227766016838,-57.20951369103205,3.16227766016838,-59.27838924302976,3.16227766016838,-61.4249044223719,3.16227766016838,-58.09096224908694,3.16227766016838,-61.64398494187022,3.16227766016838,-54.34230008725194,3.16227766016838,-56.45321549229129,3.16227766016838,-58.70734521070948,3.16227766016838,-55.41086291031598,3.16227766016838,-43.96096165608048,3.16227766016838,-44.8793861787828,3.16227766016838,-46.8906837082468,3.16227766016838,-49.11048949999118,3.16227766016838,-45.34022293156203,3.16227766016838,-54.75872258739668,3.16227766016838,-62.45818360844097,3.16227766016838,-64.2107790375193,3.16227766016838,-65.70634542471993,3.16227766016838,-61.09931531891262,3.16227766016838,-46.13152610017352,3.16227766016838,-67.61417210451796,3.16227766016838,-68.76227588193107,3.16227766016838,-69.30157020305742,3.16227766016838,-64.8144689958793
3.981071705534974,-68.25915154686706,3.981071705534974,-57.20951368849095,3.981071705534974,-59.27838923922939,3.981071705534974,-61.42490441599119,3.981071705534974,-58.09096223466516,3.981071705534974,-61.64398493090694,3.981071705534974,-54.34230008576351,3.981071705534974,-56.45321548996316,3.981071705534974,-58.7073452067207,3.981071705534974,-55.41086290040527,3.981071705534974,-43.96096165583062,3.981071705534974,-44.87938617852293,3.981071705534974,-46.89068370784779,3.981071705534974,-49.11048949928707,3.981071705534974,-45.34022292916838,3.981071705534974,-54.75872258547883,3.981071705534974,-62.45818360217562,3.981071705534974,-64.21077902893663,3.981071705534974,-65.7063454126322,3.981071705534974,-61.09931530164817,3.981071705534974,-46.13152609987402,3.981071705534974,-67.61417208990486,3.981071705534974,-68.7622758645217,3.981071705534974,-69.30157018405713,3.981071705534974,-64.81446896916093
5.011872336272725,-68.2591514715149,5.011872336272725,-57.20951368446633,5.011872336272725,-59.27838923317057,5.011872336272725,-61.42490440591927,5.011872336272725,-58.09096221180911,5.011872336272725,-61.64398491352497,5.011872336272725,-54.3423000833602,5.011872336272725,-56.45321548629633,5.011872336272725,-58.70734520044202,5.011872336272725,-55.41086288468785,5.011872336272725,-43.9609616554411,5.011872336272725,-44.87938617810855,5.011872336272725,-46.89068370721368,5.011872336272725,-49.11048949815954,5.011872336272725,-45.3402229253747,5.011872336272725,-54.75872258243369,5.011872336272725,-62.45818359240102,5.011872336272725,-64.21077901534014,5.011872336272725,-65.70634539340472,5.011872336272725,-61.09931527431368,5.011872336272725,-46.13152609941967,5.011872336272725,-67.61417206664265,5.011872336272725,-68.76227583687321,5.011872336272725,-69.30157015264837,5.011872336272725,-64.81446892675969
6.309573444801935,-68.2591513522601,6.309573444801935,-57.20951367812211,6.309573444801935,-59.27838922355245,6.309573444801935,-61.42490438999105,6.309573444801935,-58.0909621755699,6.309573444801935,-61.64398488602282,6.309573444801935,-54.34230007958867,6.309573444801935,-56.4532154804736,6.309573444801935,-58.7073451904554,6.309573444801935,-55.41086285978979,6.309573444801935,-43.96096165481824,6.309573444801935,-44.87938617744886,6.309573444801935,-46.89068370619755,6.309573444801935,-49.11048949639176,6.309573444801935,-45.34022291936383,6.309573444801935,-54.75872257760826,6.309573444801935,-62.45818357689892,6.309573444801935,-64.21077899381805,6.309573444801935,-65.70634536304016,6.309573444801935,-61.09931523098699,6.309573444801935,-46.13152609867692,6.309573444801935,-67.61417203006472,6.309573444801935,-68.762275793141,6.309573444801935,-69.30157010493633,6.309573444801935,-64.81446885959855
7.943282347242818,-68.25915135798759,7.943282347242818,-57.20951366804004,7.943282347242818,-59.27838920826832,7.943282347242818,-61.42490436464458,7.943282347242818,-58.09096211814031,7.943282347242818,-61.64398484237857,7.943282347242818,-54.3423000735836,7.943282347242818,-56.45321547127747,7.943282347242818,-58.70734517465626,7.943282347242818,-55.4108628203357,7.943282347242818,-43.9609616538359,7.943282347242818,-44.87938617640913,7.943282347242818,-46.89068370458562,7.943282347242818,-49.11048949359122,7.943282347242818,-45.34022290983903,7.943282347242818,-54.758722569981,7.943282347242818,-62.45818355228331,7.943282347242818,-64.21077895962613,7.943282347242818,-65.70634531477134,7.943282347242818,-61.09931516230115,7.943282347242818,-46.13152609749981,7.943282347242818,-67.61417197192829,7.943282347242818,-68.76227572383657,7.943282347242818,-69.30157002611118,7.943282347242818,-64.81446875313718
